,Bedrooms,Bathrooms,Area,Price,Locality
398,2,2,1650,15000,"GoldenHeightsColony,Janachaitanyacolony,HyderabadExpressway"
399,2,1,1200,13000,Chilakalguda
400,3,2,1580,50000,"Habsiguda,NH"
401,2,1,950,8500,"BNReddyNagar,NagarjunaSagarRoad"
402,3,2,1678,16000,"Upparpally,HyderabadExpressway"
403,2,2,1175,12000,"Anandbagh,Secunderabad,MoulaAliRoad"
404,1,1,1477,7000,Langar
405,3,2,1632,25000,"LBNagar,NH"
406,2,1,1000,15000,"LangarHouseSouth,HyderabadExpressway"
407,4,1,1650,23000,ToliChowki
408,3,1,1690,37000,"MyHomeVihanga,Gachibowli,OuterRingRoad"
409,1,1,1477,15000,"MythriNagar,Hafeezpet,NH"
410,3,1,1900,26000,"HillCountyTownship,Bachupally,OuterRingRoad"
411,3,1,1648,24000,"TNRSulakshna,LBNagar,NH"
412,3,2,1570,17000,"ManasaVensaAshraya,Saroornagar,NH"
413,3,1,1490,30000,"AdityaImperialHeights,Hafeezpet,NH"
414,4,3,2675,50000,"AshokaLiviano,PJanardhanReddyNagar,Gachibowli,OuterRingRoad"
415,3,3,1660,26000,"EastOakLuxuryApartments,Pocharam,NH"
416,3,2,1490,35000,"AdityaImperialHeights,Hafeezpet,NH"
417,2,1,650,8500,"LIGApartments,Kukatpally,NH"
418,3,2,1550,41000,Narayanguda
419,2,1,1200,15000,"DeviBagh,Bahadurpura"
420,3,2,1410,23000,"Tellapur,OuterRingRoad"
421,2,1,1200,21000,"Sriramnagar,Kothaguda"
422,3,2,1530,28000,"VazhraaNirmaanPushpak,Nizampet"
423,2,1,1500,25000,P&TColony
424,3,1,1725,30000,"HonerVivantis,Nalagandala"
425,3,2,1477,15000,SriMahalakshmiResidency
426,3,1,1800,41000,Attapur
427,3,3,1520,28000,WestMarredpally
428,2,1,1600,11500,Almasguda
429,3,1,1350,15000,"SunCity,Bandlaguda,ChevellaRoad"
430,3,2,2200,50000,"WhistlingWoods,Kokapet,OuterRingRoad"
431,2,1,1200,25000,ToliChowki
432,2,2,1500,30500,"KhajaGuda,OuterRingRoad"
433,3,2,1643,25000,"RVKaustubha,Kompally"
434,3,2,1505,41000,"AparnaSerenePark,Kondapur"
435,2,1,1050,8000,"Bachupally,OuterRingRoad"
436,3,2,1477,41000,VajrasJasmineCounty
437,3,3,1600,22000,"AdvocatesColony,HimayathNagar"
438,2,2,1050,28000,PoliceColony-Kondapur
439,3,2,1920,27000,"HyderNagar,NH"
440,3,2,1300,15000,Gajularamaram
441,3,2,1550,16000,MADEENAGUDA
442,2,2,1275,20000,"Madinaguda,Hafeezpet,NH"
443,2,2,1200,30000,"PJanardhanReddyNagar,Gachibowli,OuterRingRoad"
444,2,2,1200,28000,"AlkapurTownship,Manikonda,OuterRingRoad"
445,3,2,1525,23000,"SMRSowmya,WestMarredpally"
446,2,1,1100,26000,ToliChowki
